ride_id,driver_id,distance_km,fare_usd,ride_type,city,timestamp
42,1049,26.79,10.8,pool,Lima,2025-01-01 00:41:00
43,1045,5.28,40.75,premium,Lima,2025-01-01 00:42:00
44,1007,3.03,8.41,pool,Toronto,2025-01-01 00:43:00
45,1007,14.9,19.25,pool,Seoul,2025-01-01 00:44:00
46,1006,4.62,6.29,pool,Lima,2025-01-01 00:45:00
47,1015,21.91,45.82,standard,Seoul,2025-01-01 00:46:00
48,1022,7.25,46.13,pool,Toronto,2025-01-01 00:47:00
49,1038,8.05,20.53,standard,Seoul,2025-01-01 00:48:00
50,1019,18.76,32.79,pool,Berlin,2025-01-01 00:49:00
51,1048,23.87,74.41,standard,Nairobi,2025-01-01 00:50:00
52,1010,20.77,61.57,pool,Lima,2025-01-01 00:51:00
53,1024,16.42,33.51,standard,Berlin,2025-01-01 00:52:00
54,1045,13.73,43.04,premium,Seoul,2025-01-01 00:53:00
55,1022,29.69,31.45,premium,Toronto,2025-01-01 00:54:00
56,1036,19.06,42.23,pool,Berlin,2025-01-01 00:55:00
57,1030,27.64,55.56,pool,Seoul,2025-01-01 00:56:00
58,1019,5.33,69.1,premium,Berlin,2025-01-01 00:57:00
59,1005,24.06,17.02,pool,Toronto,2025-01-01 00:58:00
60,1000,22.38,31.31,standard,Berlin,2025-01-01 00:59:00
61,1021,5.47,59.57,pool,Berlin,2025-01-01 01:00:00
62,1047,27.81,63.74,standard,Berlin,2025-01-01 01:01:00
63,1025,29.83,48.57,pool,Seoul,2025-01-01 01:02:00
64,1045,7.29,40.57,premium,Toronto,2025-01-01 01:03:00
65,1041,6.66,10.45,pool,Toronto,2025-01-01 01:04:00
66,1035,2.39,26.96,pool,Nairobi,2025-01-01 01:05:00
67,1002,15.2,41.7,premium,Berlin,2025-01-01 01:06:00
68,1017,24.21,40.79,standard,Seoul,2025-01-01 01:07:00
69,1028,20.07,31.83,standard,Lima,2025-01-01 01:08:00
70,1008,4.83,9.31,standard,Seoul,2025-01-01 01:09:00
71,1037,28.39,59.47,standard,Lima,2025-01-01 01:10:00
72,1013,10.87,13.97,pool,Nairobi,2025-01-01 01:11:00
73,1047,14.87,23.5,standard,Lima,2025-01-01 01:12:00
74,1005,11.97,60.11,premium,Nairobi,2025-01-01 01:13:00
75,1025,15.87,12.62,standard,Toronto,2025-01-01 01:14:00
76,1049,18.08,33.86,standard,Toronto,2025-01-01 01:15:00
77,1001,19.03,61.28,standard,Lima,2025-01-01 01:16:00
78,1016,25.89,72.94,pool,Berlin,2025-01-01 01:17:00
79,1026,28.56,54.07,premium,Seoul,2025-01-01 01:18:00
80,1007,24.36,5.94,pool,Seoul,2025-01-01 01:19:00
81,1026,26.38,15.84,standard,Berlin,2025-01-01 01:20:00
82,1047,11.0,63.96,standard,Toronto,2025-01-01 01:21:00
83,1036,10.25,25.6,premium,Berlin,2025-01-01 01:22:00
84,1035,26.57,69.78,standard,Nairobi,2025-01-01 01:23:00
85,1022,27.85,69.34,standard,Seoul,2025-01-01 01:24:00
86,1033,12.0,63.79,pool,Nairobi,2025-01-01 01:25:00
87,1003,7.99,22.24,premium,Berlin,2025-01-01 01:26:00
88,1050,8.39,41.96,standard,Lima,2025-01-01 01:27:00
89,1049,20.67,74.98,premium,Nairobi,2025-01-01 01:28:00
90,1035,20.78,26.2,premium,Lima,2025-01-01 01:29:00
91,1020,23.22,74.4,pool,Seoul,2025-01-01 01:30:00
92,1048,14.55,6.79,pool,Nairobi,2025-01-01 01:31:00
93,1036,20.49,23.0,premium,Seoul,2025-01-01 01:32:00
94,1043,25.94,14.33,pool,Berlin,2025-01-01 01:33:00
95,1004,6.53,14.24,premium,Seoul,2025-01-01 01:34:00
96,1027,1.68,45.11,pool,Lima,2025-01-01 01:35:00
97,1006,25.28,62.72,pool,Nairobi,2025-01-01 01:36:00
98,1045,9.05,28.2,standard,Seoul,2025-01-01 01:37:00
99,1019,29.26,15.54,pool,Nairobi,2025-01-01 01:38:00
100,1043,22.99,57.43,standard,Toronto,2025-01-01 01:39:00
101,1003,13.72,5.9,premium,Nairobi,2025-01-01 01:40:00
102,1025,2.13,39.12,premium,Toronto,2025-01-01 01:41:00
103,1016,23.62,10.39,premium,Seoul,2025-01-01 01:42:00
104,1036,11.35,11.38,standard,Berlin,2025-01-01 01:43:00
105,1029,17.52,14.86,pool,Berlin,2025-01-01 01:44:00
106,1025,29.78,62.6,pool,Berlin,2025-01-01 01:45:00
107,1009,18.15,67.72,pool,Seoul,2025-01-01 01:46:00
108,1050,16.22,72.14,premium,Seoul,2025-01-01 01:47:00
109,1048,10.47,16.33,pool,Berlin,2025-01-01 01:48:00
110,1002,18.95,6.39,standard,Nairobi,2025-01-01 01:49:00
111,1018,29.83,71.58,premium,Lima,2025-01-01 01:50:00
112,1009,17.36,15.36,pool,Lima,2025-01-01 01:51:00
113,1042,26.02,43.74,pool,Seoul,2025-01-01 01:52:00
114,1028,26.15,12.15,premium,Nairobi,2025-01-01 01:53:00
115,1039,29.56,47.08,standard,Toronto,2025-01-01 01:54:00
116,1024,9.45,23.92,standard,Nairobi,2025-01-01 01:55:00
117,1010,6.28,11.13,premium,Lima,2025-01-01 01:56:00
118,1049,10.13,18.02,standard,Nairobi,2025-01-01 01:57:00
119,1028,1.71,55.03,pool,Berlin,2025-01-01 01:58:00
120,1041,7.35,56.7,pool,Lima,2025-01-01 01:59:00
121,1040,17.96,38.04,pool,Lima,2025-01-01 02:00:00
122,1041,20.93,18.2,standard,Berlin,2025-01-01 02:01:00
123,1027,19.77,47.84,premium,Nairobi,2025-01-01 02:02:00
124,1047,25.8,67.48,standard,Toronto,2025-01-01 02:03:00
125,1012,21.33,55.56,premium,Berlin,2025-01-01 02:04:00
126,1047,25.11,69.99,premium,Seoul,2025-01-01 02:05:00
127,1048,1.4,74.16,premium,Berlin,2025-01-01 02:06:00
128,1003,4.35,14.52,standard,Berlin,2025-01-01 02:07:00
129,1004,6.47,35.6,standard,Lima,2025-01-01 02:08:00
130,1023,26.53,69.09,premium,Lima,2025-01-01 02:09:00
131,1024,9.51,43.6,standard,Berlin,2025-01-01 02:10:00
132,1049,7.28,22.27,standard,Lima,2025-01-01 02:11:00
133,1013,3.57,42.96,pool,Nairobi,2025-01-01 02:12:00
134,1045,15.08,48.54,pool,Seoul,2025-01-01 02:13:00
135,1040,4.79,63.45,pool,Nairobi,2025-01-01 02:14:00
136,1027,19.75,68.99,standard,Berlin,2025-01-01 02:15:00
137,1031,8.86,50.9,standard,Toronto,2025-01-01 02:16:00
138,1031,19.28,43.61,standard,Nairobi,2025-01-01 02:17:00
139,1001,24.57,20.38,premium,Toronto,2025-01-01 02:18:00
140,1048,17.84,25.22,pool,Toronto,2025-01-01 02:19:00
141,1016,1.18,65.9,standard,Toronto,2025-01-01 02:20:00
142,1039,6.85,21.67,premium,Berlin,2025-01-01 02:21:00
143,1014,9.72,45.62,pool,Seoul,2025-01-01 02:22:00
144,1025,25.12,49.05,standard,Berlin,2025-01-01 02:23:00
145,1038,7.08,59.64,standard,Berlin,2025-01-01 02:24:00
146,1045,29.63,40.12,standard,Nairobi,2025-01-01 02:25:00
147,1030,15.79,8.45,premium,Berlin,2025-01-01 02:26:00
148,1049,24.87,10.96,standard,Toronto,2025-01-01 02:27:00
149,1047,13.78,62.98,premium,Toronto,2025-01-01 02:28:00
150,1031,29.41,63.1,standard,Lima,2025-01-01 02:29:00
151,1050,17.46,10.98,standard,Lima,2025-01-01 02:30:00
152,1008,9.53,36.59,pool,Toronto,2025-01-01 02:31:00
153,1038,25.89,12.12,standard,Lima,2025-01-01 02:32:00
154,1038,21.46,35.3,standard,Berlin,2025-01-01 02:33:00
155,1021,21.7,36.1,standard,Seoul,2025-01-01 02:34:00
156,1002,8.0,29.74,standard,Seoul,2025-01-01 02:35:00
157,1001,7.37,36.81,premium,Lima,2025-01-01 02:36:00
158,1037,11.02,60.98,premium,Toronto,2025-01-01 02:37:00
159,1006,17.67,6.44,standard,Toronto,2025-01-01 02:38:00
160,1031,4.69,64.22,pool,Seoul,2025-01-01 02:39:00
161,1031,22.93,43.18,premium,Nairobi,2025-01-01 02:40:00
162,1040,13.55,18.47,standard,Berlin,2025-01-01 02:41:00
163,1045,22.79,39.84,standard,Nairobi,2025-01-01 02:42:00
164,1046,20.59,47.91,standard,Toronto,2025-01-01 02:43:00
165,1005,29.97,41.53,standard,Lima,2025-01-01 02:44:00
166,1044,11.9,46.2,pool,Nairobi,2025-01-01 02:45:00
167,1038,3.91,42.51,standard,Nairobi,2025-01-01 02:46:00
168,1044,26.29,27.72,premium,Toronto,2025-01-01 02:47:00
169,1040,4.83,42.44,premium,Nairobi,2025-01-01 02:48:00
170,1017,13.89,49.17,pool,Nairobi,2025-01-01 02:49:00
171,1019,14.46,49.87,pool,Berlin,2025-01-01 02:50:00
172,1032,8.02,17.65,standard,Lima,2025-01-01 02:51:00
173,1008,29.98,18.08,pool,Toronto,2025-01-01 02:52:00
174,1018,27.49,10.26,pool,Lima,2025-01-01 02:53:00
175,1026,20.07,31.09,standard,Toronto,2025-01-01 02:54:00
176,1019,20.13,48.6,pool,Toronto,2025-01-01 02:55:00
177,1012,16.69,69.09,standard,Toronto,2025-01-01 02:56:00
178,1041,8.39,55.51,pool,Nairobi,2025-01-01 02:57:00
179,1048,7.35,34.23,pool,Lima,2025-01-01 02:58:00
180,1017,21.38,63.53,pool,Nairobi,2025-01-01 02:59:00
181,1043,2.77,5.18,pool,Berlin,2025-01-01 03:00:00
182,1008,15.81,55.82,pool,Seoul,2025-01-01 03:01:00
183,1016,26.82,58.14,standard,Berlin,2025-01-01 03:02:00
184,1005,24.17,20.86,pool,Berlin,2025-01-01 03:03:00
185,1032,1.5,43.32,premium,Nairobi,2025-01-01 03:04:00
186,1036,7.16,73.24,pool,Toronto,2025-01-01 03:05:00
187,1028,10.92,5.39,pool,Seoul,2025-01-01 03:06:00
188,1040,2.19,8.22,premium,Lima,2025-01-01 03:07:00
189,1047,17.58,54.21,premium,Lima,2025-01-01 03:08:00
190,1028,2.78,72.88,standard,Nairobi,2025-01-01 03:09:00
191,1015,1.42,65.04,standard,Berlin,2025-01-01 03:10:00
192,1032,2.64,29.69,standard,Seoul,2025-01-01 03:11:00
193,1013,15.65,48.74,standard,Berlin,2025-01-01 03:12:00
194,1038,14.47,38.44,premium,Nairobi,2025-01-01 03:13:00
195,1017,9.86,61.07,pool,Nairobi,2025-01-01 03:14:00
196,1010,19.93,36.03,pool,Nairobi,2025-01-01 03:15:00
197,1025,2.39,49.63,premium,Nairobi,2025-01-01 03:16:00
198,1031,4.55,61.16,standard,Lima,2025-01-01 03:17:00
199,1015,28.01,64.33,premium,Seoul,2025-01-01 03:18:00
200,1014,11.37,38.94,standard,Nairobi,2025-01-01 03:19:00
201,1029,7.58,11.45,premium,Berlin,2025-01-01 03:20:00
202,1027,7.34,47.16,premium,Nairobi,2025-01-01 03:21:00
203,1020,28.09,70.59,premium,Lima,2025-01-01 03:22:00
204,1045,14.4,51.22,pool,Lima,2025-01-01 03:23:00
205,1017,16.97,6.87,standard,Berlin,2025-01-01 03:24:00
206,1039,6.75,57.09,premium,Nairobi,2025-01-01 03:25:00
207,1047,7.62,67.36,premium,Nairobi,2025-01-01 03:26:00
208,1047,18.56,18.02,pool,Berlin,2025-01-01 03:27:00
209,1011,24.0,47.16,premium,Nairobi,2025-01-01 03:28:00
210,1033,16.37,30.0,premium,Nairobi,2025-01-01 03:29:00
211,1031,1.1,64.37,pool,Seoul,2025-01-01 03:30:00
212,1009,15.04,7.55,premium,Nairobi,2025-01-01 03:31:00
213,1012,12.52,42.43,pool,Nairobi,2025-01-01 03:32:00
214,1040,22.88,25.24,standard,Nairobi,2025-01-01 03:33:00
215,1017,24.63,74.98,standard,Lima,2025-01-01 03:34:00
216,1006,14.39,6.13,premium,Nairobi,2025-01-01 03:35:00
217,1042,12.9,22.65,standard,Berlin,2025-01-01 03:36:00
218,1024,19.77,39.64,pool,Toronto,2025-01-01 03:37:00
219,1022,28.1,13.57,pool,Toronto,2025-01-01 03:38:00
220,1022,10.51,35.04,standard,Lima,2025-01-01 03:39:00
221,1038,18.61,14.71,standard,Toronto,2025-01-01 03:40:00
222,1029,24.11,56.99,pool,Toronto,2025-01-01 03:41:00
223,1024,24.57,69.92,pool,Berlin,2025-01-01 03:42:00
224,1000,8.71,11.32,premium,Nairobi,2025-01-01 03:43:00
225,1002,15.76,67.58,premium,Nairobi,2025-01-01 03:44:00
226,1014,11.36,58.26,pool,Seoul,2025-01-01 03:45:00
227,1024,23.22,27.51,standard,Seoul,2025-01-01 03:46:00
228,1039,20.65,56.96,premium,Nairobi,2025-01-01 03:47:00
229,1028,27.39,70.86,standard,Nairobi,2025-01-01 03:48:00
230,1020,26.04,67.58,standard,Lima,2025-01-01 03:49:00
231,1021,7.62,35.57,premium,Lima,2025-01-01 03:50:00
232,1034,17.98,43.78,premium,Lima,2025-01-01 03:51:00
233,1047,3.95,30.63,pool,Toronto,2025-01-01 03:52:00
234,1047,25.12,17.35,pool,Nairobi,2025-01-01 03:53:00
235,1001,10.16,34.36,premium,Berlin,2025-01-01 03:54:00
236,1046,24.9,34.65,pool,Lima,2025-01-01 03:55:00
237,1033,24.67,24.7,premium,Toronto,2025-01-01 03:56:00
238,1050,11.84,42.67,pool,Berlin,2025-01-01 03:57:00
239,1009,20.2,57.72,premium,Seoul,2025-01-01 03:58:00
240,1042,29.91,21.94,pool,Seoul,2025-01-01 03:59:00
241,1022,16.67,32.22,premium,Lima,2025-01-01 04:00:00
242,1021,14.47,63.08,pool,Toronto,2025-01-01 04:01:00
243,1036,22.33,59.57,premium,Seoul,2025-01-01 04:02:00
244,1006,22.41,57.99,standard,Lima,2025-01-01 04:03:00
245,1010,27.95,24.64,pool,Toronto,2025-01-01 04:04:00
246,1004,12.81,67.97,standard,Lima,2025-01-01 04:05:00
247,1047,20.24,26.53,pool,Nairobi,2025-01-01 04:06:00
248,1042,27.62,30.85,premium,Nairobi,2025-01-01 04:07:00
249,1040,17.7,71.65,standard,Lima,2025-01-01 04:08:00
250,1000,8.02,65.79,standard,Toronto,2025-01-01 04:09:00
251,1047,1.16,46.83,pool,Seoul,2025-01-01 04:10:00
252,1029,21.51,58.97,premium,Seoul,2025-01-01 04:11:00
253,1031,26.54,9.93,pool,Toronto,2025-01-01 04:12:00
254,1047,18.47,73.92,pool,Toronto,2025-01-01 04:13:00
255,1023,22.9,22.4,standard,Nairobi,2025-01-01 04:14:00
256,1039,26.95,10.08,premium,Lima,2025-01-01 04:15:00
257,1000,10.15,58.8,standard,Berlin,2025-01-01 04:16:00
258,1045,1.49,55.95,pool,Toronto,2025-01-01 04:17:00
259,1015,7.28,14.27,standard,Nairobi,2025-01-01 04:18:00
260,1028,16.43,38.08,premium,Berlin,2025-01-01 04:19:00
261,1010,15.14,25.9,pool,Seoul,2025-01-01 04:20:00
262,1017,9.4,65.17,premium,Seoul,2025-01-01 04:21:00
263,1002,28.97,48.33,pool,Nairobi,2025-01-01 04:22:00
264,1013,28.53,30.51,premium,Berlin,2025-01-01 04:23:00
265,1036,4.07,42.52,pool,Berlin,2025-01-01 04:24:00
266,1017,6.55,54.23,standard,Lima,2025-01-01 04:25:00
267,1031,22.1,5.46,pool,Toronto,2025-01-01 04:26:00
268,1022,5.29,67.0,premium,Seoul,2025-01-01 04:27:00
269,1044,26.19,68.61,pool,Berlin,2025-01-01 04:28:00
270,1014,29.79,71.23,pool,Berlin,2025-01-01 04:29:00
271,1001,11.63,7.82,standard,Berlin,2025-01-01 04:30:00
272,1005,7.13,26.73,premium,Nairobi,2025-01-01 04:31:00
273,1014,15.59,11.75,pool,Toronto,2025-01-01 04:32:00
274,1031,28.3,61.01,pool,Berlin,2025-01-01 04:33:00
275,1018,21.46,14.34,premium,Toronto,2025-01-01 04:34:00
276,1042,6.14,20.97,pool,Toronto,2025-01-01 04:35:00
277,1026,28.07,74.31,premium,Nairobi,2025-01-01 04:36:00
278,1026,5.91,50.92,pool,Nairobi,2025-01-01 04:37:00
279,1025,4.93,10.99,standard,Toronto,2025-01-01 04:38:00
280,1010,18.24,66.24,pool,Toronto,2025-01-01 04:39:00
281,1001,19.39,22.89,premium,Nairobi,2025-01-01 04:40:00
282,1039,3.12,23.14,premium,Toronto,2025-01-01 04:41:00
283,1031,4.17,30.65,standard,Toronto,2025-01-01 04:42:00
284,1000,7.09,9.65,pool,Nairobi,2025-01-01 04:43:00
285,1031,13.34,73.18,premium,Toronto,2025-01-01 04:44:00
286,1002,15.07,44.37,pool,Toronto,2025-01-01 04:45:00
287,1038,22.7,50.91,standard,Seoul,2025-01-01 04:46:00
288,1020,26.75,18.48,standard,Nairobi,2025-01-01 04:47:00
289,1044,9.1,5.55,standard,Toronto,2025-01-01 04:48:00
290,1043,15.01,17.8,standard,Berlin,2025-01-01 04:49:00
291,1032,14.56,25.42,pool,Toronto,2025-01-01 04:50:00
292,1006,1.66,25.96,standard,Seoul,2025-01-01 04:51:00
293,1036,9.09,25.55,premium,Toronto,2025-01-01 04:52:00
294,1040,2.76,43.13,pool,Nairobi,2025-01-01 04:53:00
295,1044,16.46,9.11,standard,Toronto,2025-01-01 04:54:00
296,1038,11.81,58.61,standard,Toronto,2025-01-01 04:55:00
297,1023,24.73,27.97,premium,Toronto,2025-01-01 04:56:00
298,1038,23.5,38.94,premium,Seoul,2025-01-01 04:57:00
299,1032,16.89,60.89,standard,Nairobi,2025-01-01 04:58:00
300,1041,25.09,19.0,premium,Toronto,2025-01-01 04:59:00
301,1006,10.94,21.89,standard,Toronto,2025-01-01 05:00:00
302,1014,1.26,51.68,pool,Berlin,2025-01-01 05:01:00
303,1020,11.1,28.35,standard,Berlin,2025-01-01 05:02:00
304,1039,20.1,6.58,premium,Berlin,2025-01-01 05:03:00
305,1036,10.48,51.68,premium,Nairobi,2025-01-01 05:04:00
306,1028,27.36,31.33,standard,Toronto,2025-01-01 05:05:00
307,1022,12.45,13.1,pool,Toronto,2025-01-01 05:06:00
308,1043,23.45,14.95,pool,Lima,2025-01-01 05:07:00
309,1023,6.34,60.52,standard,Lima,2025-01-01 05:08:00
310,1006,7.91,45.4,pool,Seoul,2025-01-01 05:09:00
311,1010,5.24,47.35,pool,Toronto,2025-01-01 05:10:00
312,1001,20.89,31.57,premium,Berlin,2025-01-01 05:11:00
313,1044,22.63,73.04,pool,Berlin,2025-01-01 05:12:00
314,1036,23.89,70.99,standard,Berlin,2025-01-01 05:13:00
315,1025,29.97,68.53,standard,Toronto,2025-01-01 05:14:00
316,1045,15.28,18.03,premium,Toronto,2025-01-01 05:15:00
317,1020,20.69,18.08,premium,Berlin,2025-01-01 05:16:00
318,1025,13.56,45.63,premium,Lima,2025-01-01 05:17:00
319,1039,8.11,60.69,standard,Seoul,2025-01-01 05:18:00
320,1021,20.13,40.57,premium,Nairobi,2025-01-01 05:19:00
321,1004,9.02,19.94,pool,Toronto,2025-01-01 05:20:00
322,1016,20.8,49.36,standard,Toronto,2025-01-01 05:21:00
323,1007,27.73,47.5,premium,Lima,2025-01-01 05:22:00
324,1019,20.66,29.44,pool,Nairobi,2025-01-01 05:23:00
325,1026,4.88,13.6,pool,Berlin,2025-01-01 05:24:00
326,1024,9.02,29.37,premium,Seoul,2025-01-01 05:25:00
327,1027,27.28,17.1,premium,Berlin,2025-01-01 05:26:00
328,1000,22.07,23.98,pool,Seoul,2025-01-01 05:27:00
329,1003,28.68,36.51,standard,Seoul,2025-01-01 05:28:00
330,1030,20.7,20.86,standard,Lima,2025-01-01 05:29:00
331,1030,14.67,20.97,premium,Nairobi,2025-01-01 05:30:00
332,1043,7.14,42.8,standard,Lima,2025-01-01 05:31:00
333,1033,15.5,25.33,pool,Berlin,2025-01-01 05:32:00
334,1009,4.69,57.03,pool,Seoul,2025-01-01 05:33:00
335,1003,27.92,68.15,pool,Lima,2025-01-01 05:34:00
336,1034,4.52,48.76,premium,Nairobi,2025-01-01 05:35:00
337,1048,10.26,55.27,standard,Lima,2025-01-01 05:36:00
338,1035,8.88,48.71,pool,Lima,2025-01-01 05:37:00
339,1046,10.73,35.87,pool,Toronto,2025-01-01 05:38:00
340,1020,6.52,36.38,standard,Toronto,2025-01-01 05:39:00
341,1022,8.13,34.07,standard,Nairobi,2025-01-01 05:40:00
342,1035,4.15,25.15,pool,Berlin,2025-01-01 05:41:00
343,1015,27.11,17.82,standard,Lima,2025-01-01 05:42:00
344,1004,5.31,46.73,standard,Toronto,2025-01-01 05:43:00
345,1013,5.93,29.57,premium,Berlin,2025-01-01 05:44:00
346,1035,19.05,19.41,premium,Berlin,2025-01-01 05:45:00
347,1045,12.56,49.86,premium,Seoul,2025-01-01 05:46:00
348,1023,23.11,36.73,pool,Toronto,2025-01-01 05:47:00
349,1043,16.7,50.32,pool,Lima,2025-01-01 05:48:00
350,1050,4.05,33.33,premium,Seoul,2025-01-01 05:49:00
351,1023,6.81,71.24,standard,Toronto,2025-01-01 05:50:00
352,1028,7.59,70.07,standard,Seoul,2025-01-01 05:51:00
353,1022,7.0,11.31,premium,Toronto,2025-01-01 05:52:00
354,1029,15.41,15.84,premium,Toronto,2025-01-01 05:53:00
355,1047,9.55,39.17,standard,Toronto,2025-01-01 05:54:00
356,1018,18.52,50.07,premium,Lima,2025-01-01 05:55:00
357,1042,22.36,18.94,premium,Nairobi,2025-01-01 05:56:00
358,1001,8.37,13.15,premium,Lima,2025-01-01 05:57:00
359,1015,17.3,21.54,standard,Seoul,2025-01-01 05:58:00
360,1019,27.08,19.88,premium,Toronto,2025-01-01 05:59:00
361,1036,2.76,44.55,pool,Berlin,2025-01-01 06:00:00
362,1041,1.88,19.46,premium,Seoul,2025-01-01 06:01:00
363,1036,13.13,11.54,standard,Nairobi,2025-01-01 06:02:00
364,1048,8.99,67.4,standard,Lima,2025-01-01 06:03:00
365,1010,8.03,22.48,premium,Seoul,2025-01-01 06:04:00
366,1011,8.38,56.87,standard,Seoul,2025-01-01 06:05:00
367,1036,19.62,23.28,premium,Nairobi,2025-01-01 06:06:00
368,1041,2.71,62.59,pool,Nairobi,2025-01-01 06:07:00
369,1046,16.18,41.33,pool,Berlin,2025-01-01 06:08:00
370,1046,28.53,10.04,premium,Nairobi,2025-01-01 06:09:00
371,1014,13.84,56.88,standard,Berlin,2025-01-01 06:10:00
372,1010,4.72,35.76,pool,Berlin,2025-01-01 06:11:00
373,1023,28.36,12.71,pool,Seoul,2025-01-01 06:12:00
374,1009,16.52,70.98,premium,Toronto,2025-01-01 06:13:00
375,1032,8.44,50.35,premium,Berlin,2025-01-01 06:14:00
376,1033,6.9,50.55,pool,Nairobi,2025-01-01 06:15:00
377,1038,8.71,23.52,premium,Lima,2025-01-01 06:16:00
378,1047,11.17,49.28,pool,Lima,2025-01-01 06:17:00
379,1009,3.38,5.16,pool,Nairobi,2025-01-01 06:18:00
380,1010,18.85,44.34,pool,Seoul,2025-01-01 06:19:00
381,1025,23.1,31.92,premium,Lima,2025-01-01 06:20:00
382,1040,23.9,9.37,standard,Nairobi,2025-01-01 06:21:00
383,1048,22.3,33.88,premium,Seoul,2025-01-01 06:22:00
384,1038,2.8,52.39,premium,Berlin,2025-01-01 06:23:00
385,1036,16.85,32.19,premium,Seoul,2025-01-01 06:24:00
386,1024,2.09,44.6,premium,Seoul,2025-01-01 06:25:00
387,1043,26.76,20.35,standard,Nairobi,2025-01-01 06:26:00
388,1013,15.1,15.22,pool,Nairobi,2025-01-01 06:27:00
389,1019,24.5,53.91,pool,Seoul,2025-01-01 06:28:00
390,1011,9.82,55.21,standard,Berlin,2025-01-01 06:29:00
391,1036,20.97,12.5,premium,Toronto,2025-01-01 06:30:00
392,1025,27.64,15.04,premium,Lima,2025-01-01 06:31:00
393,1022,10.81,72.32,pool,Lima,2025-01-01 06:32:00
394,1026,10.09,47.98,standard,Seoul,2025-01-01 06:33:00
395,1025,18.2,11.07,pool,Berlin,2025-01-01 06:34:00
396,1019,1.31,12.3,pool,Berlin,2025-01-01 06:35:00
397,1046,19.21,32.3,standard,Toronto,2025-01-01 06:36:00
398,1003,12.41,34.25,pool,Toronto,2025-01-01 06:37:00
399,1010,29.84,43.39,premium,Toronto,2025-01-01 06:38:00
400,1045,2.16,41.33,standard,Lima,2025-01-01 06:39:00
401,1017,1.92,30.03,premium,Lima,2025-01-01 06:40:00
402,1031,20.06,63.15,standard,Toronto,2025-01-01 06:41:00
403,1041,5.3,26.73,standard,Berlin,2025-01-01 06:42:00
404,1045,20.93,43.83,pool,Seoul,2025-01-01 06:43:00
405,1006,15.08,11.02,pool,Nairobi,2025-01-01 06:44:00
406,1028,10.99,22.69,standard,Berlin,2025-01-01 06:45:00
407,1032,14.72,64.54,premium,Berlin,2025-01-01 06:46:00
408,1047,3.1,73.92,premium,Nairobi,2025-01-01 06:47:00
409,1037,8.1,44.71,premium,Nairobi,2025-01-01 06:48:00
